,product_code,state,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,market_bid_size,market_ask_size,ltp,volume,volume_by_product,datetime
268259,ETH_JPY,RUNNING,2022-02-23T21:31:22.913,37497445.0,302735.0,302940.0,0.75,0.2,4025.2656915,2513.5250045,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:22.913000+00:00
268260,ETH_JPY,RUNNING,2022-02-23T21:31:23.817,37497460.0,302735.0,302940.0,0.54,0.2,4025.0556915,2514.1458484,0.0,0.0,302735.0,13901.2157626,13901.2157626,2022-02-23 21:31:23.817000+00:00
268261,ETH_JPY,RUNNING,2022-02-23T21:31:23.817,37497460.0,302735.0,302940.0,0.54,0.2,4025.0556915,2514.1458484,0.0,0.0,302735.0,13901.2157626,13901.2157626,2022-02-23 21:31:23.817000+00:00
268262,ETH_JPY,RUNNING,2022-02-23T21:31:24.967,37497468.0,302735.0,302940.0,0.54,0.2,4025.0556915,2514.1458484,0.0,0.0,302735.0,13901.2157626,13901.2157626,2022-02-23 21:31:24.967000+00:00
268263,ETH_JPY,RUNNING,2022-02-23T21:31:24.967,37497468.0,302735.0,302940.0,0.54,0.2,4025.0556915,2514.1458484,0.0,0.0,302735.0,13901.2157626,13901.2157626,2022-02-23 21:31:24.967000+00:00
268264,ETH_JPY,RUNNING,2022-02-23T21:31:26.28,37497485.0,302735.0,302940.0,0.54,0.2,4025.0077915,2514.1076684,0.0,0.0,302735.0,13901.2157626,13901.2157626,2022-02-23 21:31:26.280000+00:00
268265,ETH_JPY,RUNNING,2022-02-23T21:31:26.28,37497485.0,302735.0,302940.0,0.54,0.2,4025.0077915,2514.1076684,0.0,0.0,302735.0,13901.2157626,13901.2157626,2022-02-23 21:31:26.280000+00:00
268266,ETH_JPY,RUNNING,2022-02-23T21:31:27.273,37497491.0,302735.0,302940.0,0.54,0.2,4018.3227915,2507.4226684,0.0,0.0,302735.0,13901.2157626,13901.2157626,2022-02-23 21:31:27.273000+00:00
268267,ETH_JPY,RUNNING,2022-02-23T21:31:27.673,37497497.0,302735.0,302940.0,0.54,0.2,4025.0077915,2514.1076684,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:27.673000+00:00
268268,ETH_JPY,RUNNING,2022-02-23T21:31:28.81,37497509.0,302735.0,302940.0,0.54,0.2,4025.0077915,2514.1076684,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:28.810000+00:00
268269,ETH_JPY,RUNNING,2022-02-23T21:31:28.81,37497509.0,302735.0,302940.0,0.54,0.2,4025.0077915,2514.1076684,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:28.810000+00:00
268270,ETH_JPY,RUNNING,2022-02-23T21:31:29.06,37497511.0,302735.0,302940.0,0.54,0.2,4025.0077915,2514.1076684,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:29.060000+00:00
268271,ETH_JPY,RUNNING,2022-02-23T21:31:29.877,37497515.0,302735.0,302940.0,0.54,0.2,4025.0077915,2514.1076684,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:29.877000+00:00
268272,ETH_JPY,RUNNING,2022-02-23T21:31:30.31,37497523.0,302735.0,302940.0,0.54,0.2,4019.3077915,2514.1076684,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:30.310000+00:00
268273,ETH_JPY,RUNNING,2022-02-23T21:31:31.563,37497537.0,302735.0,302940.0,0.54,0.2,4025.3077915,2502.1912944,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:31.563000+00:00
268274,ETH_JPY,RUNNING,2022-02-23T21:31:31.563,37497537.0,302735.0,302940.0,0.54,0.2,4025.3077915,2502.1912944,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:31.563000+00:00
268275,ETH_JPY,RUNNING,2022-02-23T21:31:32.51,37497540.0,302735.0,302940.0,0.54,0.2,4025.3077915,2514.1912944,0.0,0.0,302735.0,13901.2057626,13901.2057626,2022-02-23 21:31:32.510000+00:00
